long_name,short_name
Ro-Pax bis 25000 GT Tier I,ropax_1_tier1
Ro-Pax bis 25000 GT Tier II,ropax_1_tier2
Ro-Pax bis 25000 GT FS,ropax_1_fs
Ro-Pax groesser 25000 GT Tier I,ropax_2_tier1
Ro-Pax groesser 25000 GT Tier II,ropax_2_tier2
Ro-Pax groesser 25000 GT FS,ropax_2_fs
Car Carrier bis 40000 GT Tier I,carcarrier_1_tier1
Car Carrier bis 40000 GT Tier II,carcarrier_1_tier2
Car Carrier bis 40000 GT FS,carcarrier_1_fs
Car Carrier groesser 40000 GT Tier I,carcarrier_2_tier1
Car Carrier groesser 40000 GT Tier II,carcarrier_2_tier2
Car Carrier groesser 40000 GT FS,carcarrier_2_fs
Ro-Ro bis 25000 GT Tier I,roro_1_tier1
Ro-Ro bis 25000 GT Tier II,roro_1_tier2
Ro-Ro bis 25000 GT FS,roro_1_fs
Ro-Ro groesser 25000 GT Tier I,roro_2_tier1
Ro-Ro groesser 25000 GT Tier II,roro_2_tier2
Ro-Ro groesser 25000 GT FS,roro_2_fs
Cruise bis 25000 GT Tier I,cruise_1_tier1
Cruise bis 25000 GT Tier II,cruise_1_tier2
Cruise bis 25000 GT FS,cruise_1_fs
Cruise groesser 25000 GT Tier I,cruise_2_tier1
Cruise groesser 25000 GT Tier II,cruise_2_tier2
Cruise groesser 25000 GT FS,cruise_2_fs
Diverse bis 2000 GT Tier I,diverse_1_tier1
Diverse bis 2000 GT Tier II,diverse_1_tier2
Diverse bis 2000 GT FS,diverse_1_fs
Diverse groesser 2000 GT Tier I,diverse_2_tier1
Diverse groesser 2000 GT Tier II,diverse_2_tier2
Diverse groesser 2000 GT FS,diverse_2_fs
Tanker Handy Size Tier I,tanker_1_tier1
Tanker Handy Size Tier II,tanker_1_tier2
Tanker Handy Size FS,tanker_1_fs
Tanker Handy Max Tier I,tanker_2_tier1
Tanker Handy Max Tier II,tanker_2_tier2
Tanker Handy Max FS,tanker_2_fs
Tanker PanMax Tier I,tanker_3_tier1
Tanker PanMax Tier II,tanker_3_tier2
Tanker PanMax FS,tanker_3_fs
Tanker SuezMax Tier I,tanker_4_tier1
Tanker SuezMax Tier II,tanker_4_tier2
Tanker SuezMax FS,tanker_4_fs
Container bis 17500 GT Tier I,container_1_tier1
Container bis 17500 GT Tier II,container_1_tier2
Container bis 17500 GT FS,container_1_fs
Container 17500-55000 GT Tier I,container_2_tier1
Container 17500-55000 GT Tier II,container_2_tier2
Container 17500-55000 GT FS,container_2_fs
Container 55000-145000 GT Tier I,container_3_tier1
Container 55000-145000 GT Tier II,container_3_tier2
Container 55000-145000 GT FS,container_3_fs
Container groesser 145000 GT Tier I,container_4_tier1
Container groesser 145000 GT Tier II,container_4_tier2
Container groesser 145000 GT FS,container_4_fs
Bulker Handy Size Tier I,bulker_1_tier1
Bulker Handy Size Tier II,bulker_1_tier2
Bulker Handy Size FS,bulker_1_fs
Bulker Handy Max Tier I,bulker_2_tier1
Bulker Handy Max Tier II,bulker_2_tier2
Bulker Handy Max FS,bulker_2_fs
Bulker PanMax Tier I,bulker_3_tier1
Bulker PanMax Tier II,bulker_3_tier2
Bulker PanMax FS,bulker_3_fs
Bulker SuezMax Tier I,bulker_4_tier1
Bulker SuezMax Tier II,bulker_4_tier2
Bulker SuezMax FS,bulker_4_fs
MPV bis 12000 t dwt Tier I,mpv_1_tier1
MPV bis 12000 t dwt Tier II,mpv_1_tier2
MPV bis 12000 t dwt FS,mpv_1_fs
MPV 12000-20000 t dwt Tier I,mpv_2_tier1
MPV 12000-20000 t dwt Tier II,mpv_2_tier2
MPV 12000-20000 t dwt FS,mpv_2_fs
